Executable name	Version	Application name	Application category	Number of devices	Number of executions	Average memory usage per execution [bytes]
zwiftapp.exe	0.0.0.0	unknown	-	1	6	3731532458
iisexpress.exe	10.0.18362.1	Internet Information Services	Network application	4	40	3486818304
thedivision.exe	1.0.0.0	Tom Clancy's The Division	-	1	30	3134543189
goland64.exe	2019.3.3.0	GoLand	-	1	2	3036676096
photoshop.exe	20.0.9.28674	Adobe Photoshop CC 2019	-	1	4	2478833664
photoshop.exe	21.1.1.121	Adobe Photoshop 2020	-	4	8	2154168320
idea64.exe	2019.3.0.0	IntelliJ IDEA	-	1	6	2136997888
goland64.exe	2019.3.4.0	GoLand	-	1	6	2041227946
chathouse3droulette.exe	1.8.5.143	Chathouse 3D Roulette	-	1	8	1879572480
pycharm64.exe	2019.1.1.0	PyCharm	-	2	13	1773067117
trace.exe	0.0.0.0	unknown	-	1	6	1757413376
devenv.exe	16.3.29424.173	Microsoft Visual Studio	-	1	6	1728053248
pycharm64.exe	2018.2.0.0	PyCharm	-	1	7	1377529270
srclib_dll_x64-32.exe	2020.1.2.24185	Alteryx	-	1	90	1369053938
gsocap.nvision.ui.shell.exe	1.5.0.791	nVision Desktop	-	1	2	1266679808
pycharm64.exe	2018.2.0.0	PyCharm	-	2	6	1249203541
pycharm64.exe	2019.3.2.0	PyCharm	-	2	13	1233851313
hedgehog.wpf.client.exe	1.20.0.0	HedgeHog.Wpf.Client	-	1	16	1204027392
hedgehog.wpf.client.exe	1.113.3216.3443	HedgeHog.Wpf.Client	-	1	2	1136656384
photoshop.exe	21.1.0.106	Adobe Photoshop 2020	-	3	20	1125908480
devenv.exe	16.4.29613.14	Microsoft Visual Studio	-	1	9	1118947100
nxfinder.exe	6.25.2.0	Nexthink Finder	IT	16	75	1061623948
isuspm.exe	13.0.0.43575	FlexNet Connect	-	1	7	1053968676
hedgehog.wpf.client.exe	1.112.3151.3249	HedgeHog.Wpf.Client	-	141	1287	1047688626
wintrv.exe	3029.1.80.12	Bloomberg LP wintrv	-	1	2	1035993088
hedgehog.wpf.client.exe	1.20.0.0	HedgeHog.Wpf.Client	-	1	5	1031798784
pycharm64.exe	2019.1.3.0	PyCharm	-	3	20	1026660761
redgate.sqlcompare.ui.exe	13.7.19.12066	SQL Compare	-	2	12	993613141
pycharm64.exe	2019.3.4.0	PyCharm	-	2	15	983354572
pycharm64.exe	2018.3.4.0	PyCharm	-	1	8	959447040
iisexpress.exe	10.0.18362.1	Internet Information Services	-	4	48	918878861
camtasiastudio.exe	19.0.8.17484	Camtasia	-	1	8	911678577
firefox.exe	61.0.2.6793	Firefox	Browser	1	139	879959349
pycharm64.exe	2019.3.4.0	PyCharm	-	5	26	878162235
python.exe	3.7.3150.1013	Python	-	8	239	872546304
illustrator.exe	23.1.0.670	Adobe Illustrator 2019	-	4	55	871604968
pycharm64.exe	2019.2.1.0	PyCharm	-	1	7	864176420
datagrip64.exe	2019.3.4.0	DataGrip	-	1	5	855638016
idea64.exe	2019.2.4.0	IntelliJ IDEA	-	1	4	849608704
wintrv.exe	3036.1.80.16	Bloomberg LP wintrv	-	1	4	844103680
hedgehog.wpf.client.exe	1.20.0.0	HedgeHog.Wpf.Client	-	1	2	836763648
devenv.exe	16.1.29020.237	Microsoft Visual Studio	-	1	8	830472192
xd.exe	28.5.12.5	Adobe XD	-	2	4	802160640
hedgehog.wpf.client.exe	1.20.0.0	HedgeHog.Wpf.Client	-	1	17	795869184
hedgehog.wpf.client.exe	1.20.0.0	HedgeHog.Wpf.Client	-	1	2	792723456
datagrip64.exe	2020.1.0.0	DataGrip	-	1	3	754275669
pycharm64.exe	2020.1.0.0	PyCharm	-	4	18	752062008
photoshop.exe	20.0.6.27696	Adobe Photoshop CC 2019	-	5	32	741070848
eclipse.exe	0.0.0.0	unknown	Unknown	1	6	736275114
photoshop.exe	21.0.2.57	Adobe Photoshop 2020	-	4	12	735051776
sqldeveloper64w.exe	19.2.0.206	Oracle SQL Developer	-	1	5	727921459
intexcalc.exe	0.0.0.0	INTEXcalc	-	12	56	725375443
ssms.exe	2019.150.18118.0	Microsoft SQL Server	-	1	16	712291508
javaw.exe	8.0.192.12	OpenJDK Platform 8	-	1	7	707189613
xd.exe	27.1.12.4	Adobe XD	-	1	2	705167360
hedgehog.wpf.client.exe	1.20.0.0	HedgeHog.Wpf.Client	-	1	2	687341568
outlook.exe	16.0.11929.20300	Microsoft Outlook	Email	1	7	682098688
java.exe	8.0.2420.8	OpenJDK Platform 8	-	1	17	678490352
jetbrains.dotcover.2019.3.4.web.exe	193.0.15140.35003	dotCover 2019.3.4 Web Installer	-	2	3	675981994
intexcalc.exe	0.0.0.0	INTEXcalc	-	9	45	666723637
outlook.exe	16.0.12527.20278	Microsoft Outlook	Email	1	9	662816540
eclipse.exe	0.0.0.0	unknown	-	3	21	656723148
pycharm64.exe	2019.3.3.0	PyCharm	-	2	16	650575872
photoshop.exe	20.0.8.28474	Adobe Photoshop CC 2019	-	1	4	636223488
devenv.exe	16.3.29509.3	Microsoft Visual Studio	Development tool & Programming	1	11	634388480
gsocap.nvision.ui.shell.exe	1.5.0.791	nVision Desktop	-	1	1	623902720
eclipse.exe	0.0.0.0	unknown	-	1	6	620232704
devenv.exe	16.4.29728.190	Microsoft Visual Studio	-	5	21	613089280
devenv.exe	16.1.29009.5	Microsoft Visual Studio	Development tool & Programming	1	6	605178148
pycharm64.exe	2018.2.5.0	PyCharm	-	1	4	604766208
rsession.exe	1.1.383.0	RStudio	-	1	3	603280725
pycharm64.exe	2019.3.1.0	PyCharm	-	1	5	599995187
eclipse.exe	0.0.0.0	unknown	-	1	2	592445440
pycharm64.exe	2019.2.4.0	PyCharm	-	1	3	591047338
pycharm64.exe	2020.1.0.0	PyCharm	-	1	6	589585687
pycharm64.exe	2019.2.4.0	PyCharm	-	1	7	587052763
gsocap.nvision.ui.shell.exe	1.5.0.791	nVision Desktop	-	1	2	585105408
pycharm64.exe	2019.2.4.0	PyCharm	-	1	10	583532544
redgate.sqlcompare.ui.exe	13.8.0.12703	SQL Compare	-	2	28	575788373
indesign.exe	15.0.2.323	Adobe InDesign 2020	-	1	9	574095360
sqldeveloper64w.exe	4.1.4.21	Oracle SQL Developer	-	1	7	573720868
devenv.exe	16.2.29215.179	Microsoft Visual Studio	Development tool & Programming	2	33	571227196
illustrator.exe	23.0.6.637	Adobe Illustrator 2019	-	1	5	571124394
javaw.exe	8.0.1710.11	Java Platform SE 8	-	3	69	552240528
outlook.exe	15.0.5163.1000	Microsoft Outlook	Email	1	7	550053010
hedgehog.wpf.client.exe	1.20.0.0	HedgeHog.Wpf.Client	-	1	2	536870912
gsocap.nvision.ui.shell.exe	1.5.0.746	nVision Desktop	-	1	1	528482304
katalon.exe	0.0.0.0	unknown	Unknown	13	104	525863538
snl.clients.office.host.exe	1.0.19193.2	unknown	Unknown	1	3	522889898
xd.exe	28.4.12.3	Adobe XD	-	3	7	520992475
outlook.exe	16.0.11328.20526	Microsoft Outlook	Email	1	22	517397357
msmpeng.exe	4.10.14393.2248	Microsoft Windows Operating System	Operating System	1	7	516348781
xd.exe	26.0.22.5	Adobe XD	-	1	7	506312411
devenv.exe	16.4.29709.97	Microsoft Visual Studio	-	2	41	504171897
hubble.exe	2016.1.1.305	Hubble	-	2	3	497025024
tableau.exe	20201.20.326.1623	Tableau 2020.1	-	2	23	491400325
eclipse-inst.exe	0.0.0.0	unknown	-	2	5	489055846
excel.exe	16.0.12527.20278	Microsoft Office	Office	1	2	486014976
excel.exe	16.0.12527.20278	Microsoft Office	Office	1	108	485980676
pycharm64.exe	2018.3.2.0	PyCharm	-	1	3	485840213
tableau.exe	20201.20.219.753	Tableau 2020.1	-	4	13	483937988
pycharm64.exe	2019.2.0.0	PyCharm	-	2	9	479082723
redgate.sqlcompare.ui.exe	13.7.7.10021	SQL Compare	-	2	11	475767528
gsocap.nvision.ui.shell.exe	1.5.0.746	nVision Desktop	-	1	1	475004928
java.exe	8.0.1710.11	Java Platform SE 8	-	20	445	474505980
devenv.exe	15.9.28307.770	Microsoft Visual Studio	Development tool & Programming	1	4	471597056
javaw.exe	8.0.660.18	Java Platform SE 8	-	25	165	468269905
devenv.exe	15.9.28307.718	Microsoft Visual Studio	Development tool & Programming	7	150	466390008
control-appzookeeper.exe	20201.20.326.1623	Tableau Server	-	1	170	463680307
som_com_encoder_4_3.exe	0.0.0.0	unknown	-	1	1	462422016
pycharm64.exe	2019.3.3.0	PyCharm	-	5	47	462026011
vbcscompiler.exe	3.300.119.46102	VBCSCompiler	-	2	11	460253370
charlesriverims.exe	9.2.3.0	Charles River Investment Management Solution	-	14	107	460174482
pycharm64.exe	2019.2.3.0	PyCharm	-	2	23	457703424
eclipse.exe	0.0.0.0	unknown	Unknown	2	25	457388851
devenv.exe	15.9.28307.858	Microsoft Visual Studio	Development tool & Programming	3	34	456579949
java.exe	8.0.1710.11	Java Platform SE 8	-	18	521	455722125
uarclient.exe	4.0.0.75	VA Smalltalk	-	2	2	454787072
matlab.exe	9.6.0.0	MATLAB	-	3	23	452925253
javaw.exe	8.0.1710.11	Java Platform SE 8	-	13	178	451057114
bluejeans.exe	2.19.166.0	BlueJeans	-	5	10	443397851
redgate.sqlcompare.ui.exe	14.0.7.13517	SQL Compare	-	2	9	442033038
eclipse.exe	0.0.0.0	unknown	-	8	39	441410166
devenv.exe	15.6.27428.2002	Microsoft Visual Studio	Development tool & Programming	9	229	439545218
eclipse.exe	0.0.0.0	unknown	-	1	4	437780480
gsocap.nvision.ui.shell.exe	1.5.0.786	nVision Desktop	-	75	392	437660724
hedgehog.wpf.client.exe	1.20.0.0	HedgeHog.Wpf.Client	-	1	4	434110464
devenv.exe	15.9.28307.1033	Microsoft Visual Studio	-	5	49	426101697
sqldeveloperw.exe	4.1.4.21	Oracle SQL Developer	-	1	2	424673280
node.exe	8.1.0.0	Node.js	-	1	17	418381824
watchdoxengine.exe	4.7.0.61806	WatchDox	-	1	6	416983722
devenv.exe	16.4.29806.167	Microsoft Visual Studio	-	9	140	416805487
devenv.exe	15.9.28307.665	Microsoft Visual Studio	Development tool & Programming	7	74	416740532
teamviewer.exe	15.2.2756.0	TeamViewer	-	1	9	412090368
triton.host.exe	2019.1.9.63941	Triton	-	2	14	405199725
gsocap.nvision.ui.shell.exe	1.5.0.746	nVision Desktop	-	1	2	404750336
wintrv.exe	3035.1.80.15	Bloomberg LP wintrv	-	3	13	402809462
illustrator.exe	24.0.2.373	Adobe Illustrator 2020	-	3	13	402543957
excel.exe	14.0.7235.5000	Microsoft Office 2010	Office	15	336	392219606
devenv.exe	16.5.30002.166	Microsoft Visual Studio	-	6	43	389531814
devenv.exe	15.9.28307.222	Microsoft Visual Studio	Development tool & Programming	3	34	384499712
python.exe	0.0.0.0	unknown	-	8	2979	377084900
compass.exe	3.11.4.251	Compass	-	2	8	375390208
cvwin64.exe	2018.0.111.2	CaseView for CaseWare	-	2	6	373653504
redgate.sqlcompare.ui.exe	14.1.7.14336	SQL Compare	-	4	30	369014189
sourcetree.exe	3.3.7.3839	Sourcetree	-	1	3	367001600
mpv.exe	2.0.0.0	mpv	-	1	5	365953024
vbcscompiler.exe	1.3.6.61821	Microsoft Build Tools 2015	-	3	16	363790336
devenv.exe	16.5.29926.136	Microsoft Visual Studio	-	7	103	359862809
bluejeans.exe	2.19.684.0	BlueJeans	-	2	8	359792640
valu8.exe	2.3.9.0	Valu8	-	1	6	355117738
pbidesktop.exe	2.72.5556.801	Microsoft Power BI Desktop	-	1	1	352321536
bluejeans.exe	2.18.39.0	BlueJeans	-	3	11	349490380
xd.exe	28.2.12.3	Adobe XD	-	3	29	347973561
devenv.exe	16.4.29905.134	Microsoft Visual Studio	-	4	52	345639652
devenv.exe	15.9.28307.960	Microsoft Visual Studio	-	6	176	344327584
devenv.exe	16.1.29001.49	Microsoft Visual Studio	Development tool & Programming	3	14	343059114
redgate.sqldatacompare.ui.exe	13.6.1.7928	SQL Data Compare	-	1	6	342709589
sqldeveloper64w.exe	17.4.0.355	Oracle SQL Developer	-	7	53	341945002
smartgit.exe	0.0.0.0	SmartGit	-	1	1	340787200
ssms.exe	2019.150.18142.0	Microsoft SQL Server	Data management & Query	7	49	340285222
bluejeans.exe	2.19.465.0	BlueJeans	-	21	79	338963929
python.exe	3.6.7150.1013	Python	-	3	725	336846350
camtasiastudio.exe	19.0.10.17662	Camtasia	-	1	10	334626816
eclipse.exe	0.0.0.0	unknown	Unknown	1	9	331728668
assemble_v47.4_x64.exe	47.4.0.0	unknown	Unknown	1	19	331275117
bladeconsole.exe	1.0.0.0	Blackstone.Analytics.Console	-	1	3	330301440
outlook.exe	15.0.5153.1000	Microsoft Outlook	Email	11	77	326825338
telegram.exe	2.0.0.0	Telegram Desktop	-	1	2	325058560
gsocap.nvision.ui.shell.exe	1.5.0.746	nVision Desktop	-	1	1	324009984
javaw.exe	8.0.1810.13	Java Platform SE 8	-	11	200	323678156
gsocap.nvision.ui.shell.exe	1.5.0.746	nVision Desktop	-	1	1	321912832
hubble.exe	2016.1.4.213	Hubble	-	77	594	321813226
excel.exe	15.0.5153.1000	Microsoft Office 2013	Office	10	163	319359777
w3wp.exe	7.5.7601.17514	Internet Information Services	Network application	3	169	319288675
devenv.exe	15.9.28307.905	Microsoft Visual Studio	Development tool & Programming	7	168	317878629
devenv.exe	15.9.28307.1000	Microsoft Visual Studio	-	4	148	312698073
sqlservr.exe	2015.130.1601.5	Microsoft SQL Server	-	1	3	312475648
devenv.exe	16.4.29609.76	Microsoft Visual Studio	-	1	8	312475648
redgate.sqldatacompare.ui.exe	13.7.17.11774	SQL Data Compare	-	1	37	311836272
gsocap.nvision.ui.shell.exe	1.5.0.746	nVision Desktop	-	1	1	311427072
devenv.exe	15.9.28307.1064	Microsoft Visual Studio	-	16	333	311071000
gsocap.nvision.ui.shell.exe	1.5.0.746	nVision Desktop	-	1	1	310378496
redgate.sqldatacompare.ui.exe	14.0.7.13517	SQL Data Compare	-	2	23	310150544
qbw32.exe	27.0.4008.2702	QuickBooks	-	2	6	307757056
gsocap.nvision.ui.shell.exe	1.5.0.746	nVision Desktop	-	1	1	307232768
gsocap.nvision.ui.shell.exe	1.5.0.746	nVision Desktop	-	1	1	305135616
smartgit.exe	0.0.0.0	SmartGit	-	4	26	304127369
dbeaver.exe	0.0.0.0	unknown	-	1	6	302339413
ndp472-kb4054530-x86-x64-allos-enu.exe	4.7.3062.0	Microsoft .NET Framework 4.7.2	-	20	20	301458318
devenv.exe	14.0.25420.1	Microsoft Visual Studio 2015	-	16	117	301036910
gsocap.nvision.ui.shell.exe	1.5.0.792	nVision Desktop	-	1	1	298844160
snagiteditor.exe	19.1.5.4806	Snagit	-	1	6	298669397
acrobat.exe	19.12.20040.17853	Adobe Acrobat DC	Browser	3	247	298623002
sqlservr.exe	2017.140.1000.169	Microsoft SQL Server	Data management & Query	1	11	298272209
java.exe	8.0.201.9	Java Platform SE 8	-	3	172	298095177
redgate.sqlcompare.ui.exe	14.2.4.15334	SQL Compare	-	1	1	297795584
outlook.exe	16.0.11929.20606	Microsoft Outlook	Email	11	123	297474508
tableau.exe	20194.20.125.835	Tableau 2019.4	-	71	1091	296171544
mpv.exe	2.0.0.0	mpv	-	1	25	295572602
devenv.exe	15.9.28307.105	Microsoft Visual Studio	Development tool & Programming	67	1837	295222518
outlook.exe	16.0.11328.20368	Microsoft Outlook	Email	366	5902	294429331
node.exe	12.16.1.0	Node.js	-	2	772	290999508
baam.senfina.clients.wpf.application.exe	1.0.0.0	BAAM.Senfina.Clients.Wpf.Application	-	31	192	289877418
outlook.exe	16.0.12231.20000	Microsoft Outlook	Email	1	9	289290467
java.exe	8.0.1020.14	Java Platform SE 8	-	1	10	288777830
excel.exe	14.0.7237.5000	Microsoft Office 2010	Office	13	366	287125991
outlook.exe	14.0.4760.1000	Microsoft Outlook	Email	2	21	285999104
indesign.exe	15.0.1.209	Adobe InDesign 2020	-	3	37	285315404
setup.exe	19.0.0.0	setup	Utility & Device driver	1	5	282066944
vbcscompiler.exe	3.100.119.28106	VBCSCompiler	-	2	3	282066944
ssms.exe	2019.150.18206.0	Microsoft SQL Server	Data management & Query	19	153	278418491
rterm.exe	3.61.11246.0	unknown	-	1	5	277872640
gfxv4_0.exe	8.15.100.7263	Intel Graphics Control Panel	Utility & Device driver	1	2	276824064
outlook.exe	14.0.7227.5000	Microsoft Outlook	Email	18	215	274351121
argus.winforms.app.exe	11.8.3.190	ARGUS Enterprise 11.8	-	10	31	274077696
alteryxgui.exe	2020.1.2.24185	unknown	-	2	22	273821323
sqlservr.exe	2015.130.4001.0	Microsoft SQL Server	Data management & Query	30	164	273500859
gsocap.nvision.ui.shell.exe	1.5.0.746	nVision Desktop	-	1	1	272629760
python.exe	3.6.7150.1013	Python	-	1	594	271116040
outlook.exe	16.0.12703.20010	Microsoft Outlook	Email	1	59	269601544
gsocap.nvision.ui.shell.exe	1.5.0.746	nVision Desktop	-	1	1	269484032
winsat.exe	10.0.17763.1	Microsoft Windows Operating System	Operating System	665	1254	268828672
outlook.exe	16.0.11328.20512	Microsoft Outlook	Email	797	14403	267548515
javaw.exe	8.0.910.61	Java Platform SE 8	-	1	2	266338304
outlook.exe	16.0.11929.20562	Microsoft Outlook	Email	78	1082	263305028
gsocap.nvision.ui.shell.exe	1.5.0.746	nVision Desktop	-	1	1	263192576
dottrace64.exe	2018.3.4.0	dotTrace	-	1	1	263192576
ssms.exe	2017.140.17285.0	Microsoft SQL Server	Data management & Query	2	8	261881856
acrobat.exe	19.10.20098.54430	Adobe Acrobat DC	Browser	4	473	261677160
outlook.exe	14.0.7233.5000	Microsoft Outlook	Email	4	60	259956189
pbidesktop.exe	2.79.5768.1082	Microsoft Power BI Desktop	-	4	10	259784704
hubble.exe	2016.1.4.212	Hubble	-	41	313	259134997
excel.exe	16.0.9126.2295	Microsoft Office 2016	Office	3	107	258438391
screen recorder launcher.exe	2.0.0.0	unknown	-	1	1	256901120
javaw.exe	8.0.1110.14	Java Platform SE 8	-	6	29	255804484
illustrator.exe	24.1.1.376	Adobe Illustrator 2020	-	2	8	255623168
photoshop.exe	21.0.1.47	Adobe Photoshop 2020	-	1	11	255481173
devenv.exe	11.0.50727.1	Microsoft Visual Studio 2012	-	1	6	254235989
oracle.exe	11.2.0.2	unknown	Data management & Query	2	28	254124335
outlook.exe	16.0.10730.20304	Microsoft Outlook	Email	1	6	254104917
nlp.exe	0.0.0.0	Tableau Server	-	1	3	253755392
macrobond.exe	1.21.6.22770	Macrobond	-	1	9	251658240
gsocap.nvision.ui.shell.exe	1.5.0.791	nVision Desktop	-	1	1	250609664
worldcard.exe	8.7.2.0	WorldCard	-	1	7	250310070
dbeaver.exe	0.0.0.0	unknown	-	1	1	249561088
excel.exe	16.0.11929.20300	Microsoft Office	Office	1	101	249099872
javaw.exe	8.0.1710.11	Java Platform SE 8	-	6	52	248609602
gsocap.nvision.ui.shell.exe	1.5.0.791	nVision Desktop	-	1	1	248512512
gsocap.nvision.ui.shell.exe	1.5.0.746	nVision Desktop	-	1	1	248512512
iexplore.exe	11.0.17134.1	Internet Explorer	Browser	1	6	248512512
java.exe	11.0.6.0	OpenJDK Platform 11	-	8	25	248138020
powerpnt.exe	16.0.12231.20000	Microsoft Office	Office	1	5	247883366
fcs.administrator.application.exe	11.7.1.2211	WSO Administrator - RELEASE-11.7	-	88	537	245569437
tableau.exe	20192.19.718.1543	Tableau 2019.2	-	2	36	244794206
wintrv.exe	3036.1.80.16	Bloomberg LP wintrv	-	369	3326	244482406
mysqlworkbench.exe	8.0.16.0	MySQL Workbench	Data management & Query	4	17	243761152
acad.exe	29.1.47.0	AutoCAD	Graphics & Imaging	3	9	242672526
gsocap.nvision.ui.shell.exe	1.5.0.791	nVision Desktop	-	1	1	242221056
node.exe	13.2.0.0	Node.js	-	2	231	241823574
outlook.exe	14.0.5123.5000	Microsoft Outlook	Email	3	51	241112186
node.exe	12.14.1.0	Node.js	-	19	2137	240785622
winword.exe	16.0.11328.20526	Microsoft Office	Office	1	18	240493989
powerpnt.exe	15.0.4454.1000	Microsoft Office 2013	Office	1	4	239075328
node.exe	10.16.1.0	Node.js	-	2	340	238764724
vlc.exe	3.0.8.0	VLC media player	Multimedia	1	5	238708326
acrobat.exe	15.23.20053.15062	Adobe Acrobat DC	Browser	26	1323	238096488
javaw.exe	8.0.740.2	Java Platform SE 8	-	1	4	238026752
ssms.exe	2019.150.18330.0	Microsoft SQL Server	-	5	29	237118610
outlook.exe	16.0.11328.20554	Microsoft Outlook	Email	36	377	234512790
xdesproc.exe	16.3.29424.173	Microsoft Visual Studio	-	1	7	232933668
gsocap.nvision.ui.shell.exe	1.5.0.791	nVision Desktop	-	1	1	232783872
devenv.exe	15.9.28307.586	Microsoft Visual Studio	Development tool & Programming	4	22	231312952
devenv.exe	16.5.30011.22	Microsoft Visual Studio	-	9	58	228779204
telegram.exe	2.0.1.0	Telegram Desktop	-	1	1	228589568
dotcover.shell.exe	777.0.0.0	dotCover\Standalone	-	1	3	227540992
gfxv4_0.exe	8.15.10.4973	Intel Graphics Control Panel	Utility & Device driver	1	1	226492416
excel.exe	16.0.11328.20554	Microsoft Office	Office	27	1143	226239587
sourcetree.exe	3.0.12.2543	Sourcetree	-	1	7	225893229
snagiteditor.exe	19.1.0.2653	Snagit	-	1	6	225269077
rterm.exe	3.51.9411.0	unknown	-	1	14	225069348
dotpeek64.exe	2019.3.4.0	dotPeek	-	1	13	224637243
lync.exe	16.0.11929.20300	Microsoft Office	Office	1	6	223975833
tableau.exe	20194.19.1211.1636	Tableau 2019.4	-	1	6	223696213
illustrator.exe	24.0.1.341	Adobe Illustrator 2020	-	1	2	223477760
microsoft.vshub.server.httphostx64.exe	14.0.25420.1	Microsoft Visual Studio 2015	-	2	5	223346688
postsharp-net40-x86-srv.exe	4.3.48.0	PostSharp	-	12	51	223130804
java.exe	14.0.0.0	OpenJDK Platform 14	-	1	3	223084544
mspaint.exe	10.0.17763.1	Microsoft Windows Operating System	Operating System	6	7	222909781
outlook.exe	16.0.11929.20648	Microsoft Outlook	Email	17	253	222478400
java.exe	8.0.2510.8	Java Platform SE 8	-	1	22	222429184
outlook.exe	16.0.12008.20000	Microsoft Outlook	Email	1	1	222298112
w3wp.exe	10.0.17763.1	Internet Information Services	Network application	69	1923	222053666
tableau.exe	20192.19.818.2120	Tableau 2019.2	-	1	3	221948586
gsocap.nvision.ui.shell.exe	1.5.0.791	nVision Desktop	-	1	2	221249536
excel.exe	16.0.11328.20512	Microsoft Office	Office	735	34962	220823835
java.exe	8.0.1620.12	Java Platform SE 8	-	399	32564	220369481
ssms.exe	2017.140.17289.0	Microsoft SQL Server	Data management & Query	7	56	220353480
lync.exe	16.0.12008.20000	Microsoft Office	Office	1	3	218453333
googleearth.exe	7.1.8.3036	Google Earth	Educational & Reference	1	5	218208665
python.exe	3.6.7150.1013	Python	-	1	524	217995124
excel.exe	16.0.11328.20368	Microsoft Office	Office	313	12826	217963269
pythonw.exe	3.6.5150.1013	Python	-	1	12	217229994
node.exe	12.13.0.0	Node.js	-	2	235	216872924
sharegate.exe	12.2.5.2350	ShareGate Desktop	-	1	8	216662016
outlook.exe	14.0.7109.5000	Microsoft Outlook	Email	1	10	216530944
postsharp-net40-x86-srv.exe	5.0.55.0	PostSharp	-	5	17	216376741
w3wp.exe	10.0.16299.15	Internet Information Services	Network application	20	452	215680866
powerpnt.exe	16.0.11929.20562	Microsoft Office	Office	29	454	215660251
mstsc.exe	6.2.9200.17053	Microsoft Windows Operating System	Operating System	1	11	215625355
outlook.exe	14.0.7236.5000	Microsoft Outlook	Email	14	173	215052041
gsocap.nvision.ui.shell.exe	1.5.0.746	nVision Desktop	-	1	2	211812352
javaw.exe	13.0.2.0	OpenJDK Platform 13	-	1	2	211288064
vbcscompiler.exe	3.200.119.40803	VBCSCompiler	-	1	17	211072180
gsocap.nvision.ui.shell.exe	1.5.0.791	nVision Desktop	-	1	1	210763776
tableau.exe	20183.18.1219.1533	Tableau 2018.3	-	1	4	210763776
gfxv4_0.exe	8.15.10.4973	Intel Graphics Control Panel	Utility & Device driver	1	3	209715200
ibm.cognosdm.exe	19.11.1.5117	Ibm.CognosDM	-	7	80	209217506
java.exe	8.0.1720.11	Java Platform SE 8	-	1	7	209041115
msmdsrv.exe	2018.151.25.36	Microsoft Analysis Services	-	4	11	206394709
atmgr.exe	3907.0.1907.2600	AtMgr Module	Instant messaging & Video-conferencing	1	2	206045184
matlab.exe	9.7.0.0	MATLAB	-	1	6	205558345
gsocap.nvision.ui.shell.exe	1.5.0.791	nVision Desktop	-	1	2	205520896
baam.senfina.clients.wpf.application.exe	1.0.0.0	BAAM.Senfina.Clients.Wpf.Application	-	1	23	205258752
firefox.exe	48.0.1.6073	Firefox	Browser	19	105	205153894
outlook.exe	14.0.7236.5000	Microsoft Outlook	Email	471	6261	204933659
outlook.exe	16.0.11929.20562	Microsoft Outlook	Email	133	1506	204754159
lync.exe	16.0.11929.20606	Microsoft Office	Office	9	73	202593005
atmgr.exe	3905.1600.1911.1400	AtMgr Module	Instant messaging & Video-conferencing	2	3	202549930
firefox.exe	74.0.1.7398	Firefox	Browser	15	682	202286960
ilspy.exe	3.0.1.3459	ILSpy	-	1	2	201850880
acrobat.exe	19.12.20034.1161	Adobe Acrobat DC	Browser	3	159	201225802
excel.exe	16.0.11328.20368	Microsoft Office	Office	20	2594	201212289
emsystem.exe	8.6.445.0	AppSense Environment Manager 8.6 SP3	-	6	130	198321645
gsocap.nvision.ui.shell.exe	1.5.0.776	nVision Desktop	-	1	6	198268245
spotfire.dxp.exe	43.0.14306.3950	TIBCO Spotfire	-	1	3	198180864
outlook.exe	14.0.7248.5000	Microsoft Outlook	Email	1	1	198180864
vs_installerservice.exe	1.3.211.27930	ServiceHub.Host.CLR	-	13	22	197810778
gsocap.nvision.ui.shell.exe	1.5.0.784	nVision Desktop	-	2	8	197656576
excel.exe	14.0.4756.1000	Microsoft Office 2010	Office	5	98	197333349
devenv.exe	15.9.28307.812	Microsoft Visual Studio	Development tool & Programming	4	39	196427211
tws.exe	9.78.1.15	Trader Workstation	-	1	1	196083712
pycharm64.exe	2019.2.5.0	PyCharm	-	1	7	195484525
excel.exe	14.0.7015.1000	Microsoft Office 2010	Office	50	1683	194382048
zotero.exe	5.0.0.0	Zotero	-	2	8	193331200
powerpnt.exe	16.0.11328.20554	Microsoft Office	Office	11	123	193293675
excel.exe	14.0.7229.5000	Microsoft Office 2010	Office	13	472	193143140
acrobat.exe	20.6.20042.43423	Adobe Acrobat DC	-	82	6074	191935922
vbcscompiler.exe	1.3.1.60616	Microsoft Build Tools 2015	-	1	2	191889408
tws.exe	9.78.1.15	Trader Workstation	-	2	2	191889408
outlook.exe	14.0.7012.1000	Microsoft Outlook	Email	53	734	190457190
powerpnt.exe	15.0.5093.1000	Microsoft Office 2013	Office	5	976	190097727
outlook.exe	16.0.12718.20010	Microsoft Outlook	Email	1	3	189792256
excel.exe	16.0.11328.20512	Microsoft Office	Office	201	13832	188942565
outlook.exe	14.0.7235.5000	Microsoft Outlook	Email	15	173	188731627
gfxv4_0.exe	8.15.100.6472	Intel Graphics Control Panel	Utility & Device driver	1	2	187695104
java.exe	8.0.2210.11	Java Platform SE 8	-	2	74	187301888
transactions.exe	7.0.13.1306	Investran Accounting	-	104	508	186476655
geneva.exe	19.10.10.50	Geneva	-	26	173	186155225
outlook.exe	14.0.7235.5000	Microsoft Outlook	Email	692	10411	186084834
tws-latest-standalone-windows-x64.exe	9.78.1.15	Trader Workstation	-	1	2	183500800
notepad++.exe	7.1.0.0	Notepad	Office	1	21	183034766
wintrv.exe	3034.1.80.8	Bloomberg LP wintrv	-	4	29	182602714
